id_cliente,numero_identificacion,nombre_completo,correo_electronico,telefono,direccion,activo,creado_en,modificado_en,creado_por,modificado_por
1,1750000001,Ana Rodriguez Torres,ana.rodriguez1@gmail.com,+593908000023,"Calle Guayaquil N14-19, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
2,1750000002,Luis Ramirez Viteri,luis.ramirez2@gmail.com,+593908000046,"Av. De los Shyris N18-28, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
3,1750000003,Gabriela Diaz Vega,gabriela.diaz3@gmail.com,+593908000069,"Calle Venezuela N22-37, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
4,1750000004,Jorge Alvear Rodriguez,jorge.alvear4@gmail.com,+593908000092,"Av. 10 de Agosto N26-46, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
5,1750000005,Silvia Cardenas Castro,silvia.cardenas5@gmail.com,+593908000115,"Calle Flores N30-55, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
6,1750000006,Jose Espinosa Morales,jose.espinosa6@gmail.com,+593908000138,"Av. Republica N34-64, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
7,1750000007,Camila Vega Paredes,camila.vega7@gmail.com,+593908000161,"Calle Bolivar N38-73, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
8,1750000008,David Paredes Ramirez,david.paredes8@gmail.com,+593908000184,"Av. Eloy Alfaro N42-82, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
9,1750000009,Valeria Martinez Ortiz,valeria.martinez9@gmail.com,+593908000207,"Calle Esmeraldas N46-11, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
10,1750000010,Diego Sanchez Delgado,diego.sanchez10@gmail.com,+593908000230,"Av. Amazonas N50-20, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
11,1750000011,Andrea Flores Martinez,andrea.flores11@gmail.com,+593908000253,"Calle Guayaquil N54-29, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
12,1750000012,Daniel Silva Diaz,daniel.silva12@gmail.com,+593908000276,"Av. De los Shyris N58-38, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
13,1750000013,Carla Viteri Cabrera,carla.viteri13@gmail.com,+593908000299,"Calle Venezuela N62-47, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
14,1750000014,Mario Morales Mora,mario.morales14@gmail.com,+593908000322,"Av. 10 de Agosto N66-56, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
15,1750000015,Veronica Delgado Sanchez,veronica.delgado15@gmail.com,+593908000345,"Calle Flores N70-65, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
16,1750000016,Manuel Mora Alvear,manuel.mora16@gmail.com,+593908000368,"Av. Republica N74-74, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
17,1750000017,Estefania Lopez Rivas,estefania.lopez17@gmail.com,+593908000391,"Calle Bolivar N78-83, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
18,1750000018,Alejandro Perez Lopez,alejandro.perez18@gmail.com,+593908000414,"Av. Eloy Alfaro N82-12, Guayaquil",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
19,1750000019,Adriana Torres Flores,adriana.torres19@gmail.com,+593908000437,"Calle Esmeraldas N86-21, Ambato",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
20,1750000020,Juan Castro Cardenas,juan.castro20@gmail.com,+593908000460,"Av. Amazonas N90-30, Quito",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
21,1750000021,Ana Ortiz Solis,ana.ortiz21@gmail.com,+593908000483,"Calle Guayaquil N94-39, Cuenca",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
22,1750000022,Luis Cabrera Perez,luis.cabrera22@gmail.com,+593908000506,"Av. De los Shyris N98-48, Manta",t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,generator_script,
