id_empleado,numero_identificacion,nombre_completo,cargo,telefono,correo,fecha_contratacion,activo,creado_en,modificado_en,creado_por,modificado_por
1,1715849302,Carlos Eduardo Mendoza Castro,Gerente,+593984728391,carlos.mendoza@datamart.com,2020-03-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
2,1726485930,Ana Gabriela Rodríguez Peña,Administrador,+593992837465,ana.rodriguez@datamart.com,2021-06-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
3,0918273645,Luis Fernando Gómez Silva,Administrador,+593981273645,luis.gomez@datamart.com,2022-01-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
4,1759483726,Patricia Elizabeth Alvear Noboa,Administrador,+593995847362,patricia.alvear@datamart.com,2022-11-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
5,1724395810,Jorge Andrés Martínez Ortiz,Supervisor,+593998765432,jorge.martinez@datamart.com,2022-05-18,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
6,0923847561,Diana Carolina Viteri López,Supervisor,+593983475621,diana.viteri@datamart.com,2023-02-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
7,1719283746,Mario Roberto Cárdenas Franco,Supervisor,+593991283746,mario.cardenas@datamart.com,2023-04-12,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
8,0104859234,Silvia Patricia Cabrera Vélez,Supervisor,+593984738291,silvia.cabrera@datamart.com,2023-08-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
9,1827364519,Andrés Felipe Morales Paz,Supervisor,+593992837410,andres.morales@datamart.com,2023-11-05,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
10,1729485760,Natalia Belén Espinosa Cisneros,Supervisor,+593981029384,natalia.espinosa@datamart.com,2024-01-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
11,0911223344,Christian Xavier Torres Ruiz,Supervisor,+593993344556,christian.torres@datamart.com,2024-03-20,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
12,1755443322,Estefanía Alexandra Rivas Mera,Supervisor,+593987766554,estefania.rivas@datamart.com,2024-06-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
13,1723485940,María José Delgado Pinto,Cajero,+593994827163,maria.delgado@datamart.com,2024-02-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
14,0912384756,David Alejandro Muñoz Vega,Cajero,+593983746251,david.munoz@datamart.com,2024-02-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
15,1718293847,Gabriela Fernanda Solís Mora,Cajero,+593991203948,gabriela.solis@datamart.com,2024-03-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
16,1720394857,Juan Sebastián Paredes Jarrín,Cajero,+593987463520,juan.paredes@datamart.com,2024-03-10,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
17,0921827364,Camila Andrea Cevallos Álava,Cajero,+593992817364,camila.cevallos@datamart.com,2024-03-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
18,1758493021,Mateo Daniel Romero Grijalva,Cajero,+593983746281,mateo.romero@datamart.com,2024-04-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
19,1847362910,Sofia Isabella Salazar Castillo,Cajero,+593994827160,sofia.salazar@datamart.com,2024-04-15,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
20,1729384711,Santiago Israel Aguirre Vera,Cajero,+593982736410,santiago.aguirre@datamart.com,2024-05-01,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,admin,
