id_usuario_sistema,id_empleado,username,password_hash,rol,activo,creado_en,modificado_en,creado_por,modificado_por
1,1,carlos_eduardo_mendoza_castro1,hashed_password_demo,ADMIN,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
2,2,ana_gabriela_rodríguez_peña2,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
3,3,luis_fernando_gómez_silva3,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
4,4,patricia_elizabeth_alvear_noboa4,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
5,5,jorge_andrés_martínez_ortiz5,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
6,6,diana_carolina_viteri_lópez6,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
7,7,mario_roberto_cárdenas_franco7,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
8,8,silvia_patricia_cabrera_vélez8,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
9,9,andrés_felipe_morales_paz9,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
10,10,natalia_belén_espinosa_cisneros10,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
11,11,christian_xavier_torres_ruiz11,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
12,12,estefanía_alexandra_rivas_mera12,hashed_password_demo,EMPLEADO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
13,13,maría_josé_delgado_pinto13,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
14,14,david_alejandro_muñoz_vega14,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
15,15,gabriela_fernanda_solís_mora15,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
16,16,juan_sebastián_paredes_jarrín16,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
17,17,camila_andrea_cevallos_álava17,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
18,18,mateo_daniel_romero_grijalva18,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
19,19,sofia_isabella_salazar_castillo19,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
20,20,santiago_israel_aguirre_vera20,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
21,21,daniela_alejandra_zambrano_loor21,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
22,22,nicolás_alejandro_vargas_mendoza22,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
23,23,valeria_nicole_ortega_reyes23,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
24,24,sebastián_francisco_herrera_paz24,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
25,25,paulina_elizabeth_andrade_cueva25,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
26,26,diego_armando_cordero_suárez26,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
27,27,andrea_michelle_benítez_franco27,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
28,28,matías_ezequiel_peralta_luna28,hashed_password_demo,CAJERO,t,2026-07-17 19:22:27.718562-05,2026-07-17 19:22:27.718562-05,system,
